2025-07-20 03:38:53,026 INFO    MainThread:30498 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_setup.py:_flush():80] Configure stats pid to 30498
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_setup.py:_flush():80] Loading settings from /root/.config/wandb/settings
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_setup.py:_flush():80] Loading settings from /root/rg_obfuscation/wandb/settings
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /root/rg_obfuscation/wandb/run-20250720_033853-re5hd71r/logs/debug.log
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /root/rg_obfuscation/wandb/run-20250720_033853-re5hd71r/logs/debug-internal.log
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_init.py:init():830] calling init triggers
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'model_name': 'Qwen/Qwen3-4B', 'custom_verifier_path': 'registry', 'custom_prompt_path': 'registry', 'use_terminal': True, 'enable_multi_turn': True, 'max_turns': 3, 'batch_size': 32, 'gradient_accumulation_steps': 1, 'learning_rate': '1e-5', 'num_episodes': 5000, 'kl_coefficient': 0.0, 'min_thinking_tokens': 0, 'max_thinking_tokens': 128, 'max_new_tokens': 256, 'seed': 42, 'device': 'cuda', 'wandb_project': 'qwen3-reinforce-reasongym', 'wandb_entity': None, 'hf_repo_out': None, 'judge_penalty_enabled': False, 'judge_penalty_coefficient': 0.0, 'judge_model': 'gpt-4o-mini', 'regex_penalty_enabled': True, 'regex_penalty_coefficient': 0.5, 'regex_penalty_max': 1, 'regex_penalty_target_words': ['ground truth'], 'task_name': 'largest_island', 'wandb_project_name': 'multiturn_island', 'task_name_for_wandb': 'penalty', 'wrong_answer': True, 'train_on_user_tokens': True, '_wandb': {}}
2025-07-20 03:38:53,027 INFO    MainThread:30498 [wandb_init.py:init():871] starting backend
2025-07-20 03:38:53,231 INFO    MainThread:30498 [wandb_init.py:init():874] sending inform_init request
2025-07-20 03:38:53,233 INFO    MainThread:30498 [wandb_init.py:init():882] backend started and connected
2025-07-20 03:38:53,234 INFO    MainThread:30498 [wandb_init.py:init():953] updated telemetry
2025-07-20 03:38:53,237 INFO    MainThread:30498 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-20 03:38:53,556 INFO    MainThread:30498 [wandb_init.py:init():1029] starting run threads in backend
2025-07-20 03:38:53,631 INFO    MainThread:30498 [wandb_run.py:_console_start():2458] atexit reg
2025-07-20 03:38:53,631 INFO    MainThread:30498 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-20 03:38:53,631 INFO    MainThread:30498 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-20 03:38:53,631 INFO    MainThread:30498 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-20 03:38:53,632 INFO    MainThread:30498 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-20 03:45:22,644 INFO    MsgRouterThr:30498 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
